Passed	Camera Driver System Test - MediaCapture - ValidateFocusControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateFocusControlUnsupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateFrameExposureCapabilities
Passed	Camera Driver System Test - MediaCapture - ValidateFrameExposureCompensationCapabilities
Passed	Camera Driver System Test - MediaCapture - ValidateFrameExposureCompensationValues
Passed	Camera Driver System Test - MediaCapture - ValidateFrameExposureControlValues
Passed	Camera Driver System Test - MediaCapture - ValidateFrameFocusCapabilities
Passed	Camera Driver System Test - MediaCapture - ValidateFrameFocusValues
Passed	Camera Driver System Test - MediaCapture - ValidateFrameIsoSpeedCapabilities
Passed	Camera Driver System Test - MediaCapture - ValidateFrameIsoSpeedValues
Passed	Camera Driver System Test - MediaCapture - ValidateFramePhotoConfirmationCapabilities
Passed	Camera Driver System Test - MediaCapture - ValidateIsoSpeedControlPresets
Passed	Camera Driver System Test - MediaCapture - ValidateIsoSpeedControlUnsupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateManualFocusValues
Passed	Camera Driver System Test - MediaCapture - ValidatePowerlineFrequency
Passed	Camera Driver System Test - MediaCapture - ValidatePrimaryUseControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateROIControlIllegalBounds
Passed	Camera Driver System Test - MediaCapture - ValidateROIControlLegalBounds
Passed	Camera Driver System Test - MediaCapture - ValidateROIControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateSceneModeControlPresets
Passed	Camera Driver System Test - MediaCapture - ValidateSceneModeControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateSceneModeControlUnsupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateTorchControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateTorchControlUnsupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateWhiteBalanceControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateWhiteBalanceControlUnsupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateWhiteBalanceControlValues
Passed	Camera Driver System Test - MediaCapture - ValidateZoomControlSupportedScenarios
Passed	Camera Driver System Test - MediaCapture - ValidateZoomDuringVideo
Passed	Camera Driver Test - MultiCamera Video Preview (Sample Callback) - Stream video from the default format on Camera preview stream
Passed	Camera Driver Test - MultiCamera Video Preview (View Finder) - Stream video from the default format on Camera preview stream
Passed	Camera Driver Test - UVC Test 4
Passed	Camera Driver Test - UVC Test 5
Passed	Camera Driver Test - UVC Test 6
Passed	Check SMBIOS Mapped Address Tables
Passed	Check SMBIOS System Memory Tables
Passed	Check SMBIOS Table Numbers
Passed	DX10 Graphics Enforcement Test (System)
Passed	Monitor - Range Limits
Passed	Secure Bio Face SDEV Table Exists Test
Passed	Single Computer Display Object test
Passed	TDI filters and LSPs are not allowed
Passed	Test.RightClickReliability
Passed	WDDM CCD Test for verifying only one internal target active on GPU
Passed	WGF11 D3DSystemCheck - Hybrid
Passed	WGF11 D3DSystemCheck - Hybrid (WoW64)
Passed	WGF Feature Level 9.3 Support
Passed	WGF Feature Level 9.3 Support (WoW64)
Passed	Windows Client System Check For WDDM 1.1 Or Greater Display Driver Support
Passed	Windows Client System Check For WDDM 1.2 Display Driver Support
Passed	Windows Client System Check For WDDM 1.3 Display Driver Support
Passed	Windows System Check For WDDM
Passed	Wlan Test - Query All Reported Oids
Passed	Wlan Test - Query Interface Properties
Passed	Wlan Test - Scan for Networks
Passed	Wlan Test - Toggle airplane mode
Passed	Wlan Test - Validate 2x2 antenna is present
Passed	Wlan Test - Wlan Device Capabilities Check
Passed	Wlan Test - Wlan Device enumeration
